Species,DISEASE,AGENT,TYPE,SYNDROME,MEASURES,Source,Source_1,souce,Soure
Dicentrarchus labrax,Scuticociliatosis; other ciliatosis,Tetrahynema sp.,Ciliates,Skin and gill lesions; depigmentation; ulcerations; skin area haemorrhages,Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Myxosporidiosis,Sphaerospora dicentrarchi ,Myxozoa,Reduced production; reduced growth rate; low mortality,No treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Myxosporidiosis,Shaerospora testicularis,Myxozoa,Reduced production; reduced growth rate; low mortality,No treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Myxosporidiosis,Ceratomyxa labraci,Myxozoa,Reduced production; reduced growth rate; low mortality,No treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Microsporidiosis,Glugea sp.,Myxozoa,Reduced production; low mortality,No treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Gill fluke infections,Diplectanum aequans,Monogenean,Skin cloudiness; focal reddening with excess mucus production; epithelial hyperplasia; gill haemorrhages,Correct prophylaxis; good husbandry condition,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Gill fluke infections,Diplectanum laubieri,Monogenean trematode,Skin cloudiness; focal reddening with excess mucus production; epithelial hyperplasia; gill haemorrhages,Correct prophylaxis; good husbandry condition,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Anisakis infection,Anisakis spp.,Nematoda,Larvae in coelomatic cavity,Correct prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Isopodiasis,Nerocilla orbiguyi,Isopod,Growth retardation; gills and skin tissue necrosis; adults and larvae on fish,Correct prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,https://www.fishbase.de/Diseases/DiseasesList.php?ID=63&StockCode=73,NA,NA
Dicentrarchus labrax,Isopodiasis,Anilocra physoides,Isopod,Growth retardation; gills and skin tissue necrosis; adults and larvae on fish,Correct prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Isopodiasis,Ceratothoa oestroides,Isopod,Growth retardation; gills and skin tissue necrosis; adults and larvae on fish,Correct prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Edwardsiellosis,Edwardsiella,Bacteria,NA,NA,https://www.fishbase.de/Diseases/DiseasesList.php?ID=63&StockCode=73,NA,NA,NA
Dicentrarchus labrax,Enteric redmouth disease,Yersinia ruckeri,Bacteria,NA,NA,NA,NA,NA,NA
Dicentrarchus labrax,IPN (Infectious Pancreatic necrosis),IPN,Virus,"Erratic swimming, eventually to bottom of tank where death occurs",No treatment; statutory controls; biosecurity; broodstock screening; vaccines being developed,https://www.cabi.org/ISC/datasheet/79273,NA,NA,NA
Sparus aurata,Vibriosis,Photobacterium damselae subsp. damselae,Bacteria,Dark skin; lethargy; distended abdomen; haemorrhages,Avoid use of feed with very high lipid levels; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,Pasteurellosis (Pseudotuberculosis),Photobacterium damselae subsp. piscicida,Bacteria,Anorexia; focal necrosis of the gills,Vaccination of broodstock and juveniles; use of immunostimulant and vitamin treatments; good hygiene and disinfection of water supply; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,Winter Disease Syndrome,Pseudomonas anguilliseptica,Bacteria,"'Belly up' syndrome, with or without the presence of haemorrhaging",Effective disinfection and dry-out period for land-based fattened units; adapt feeding regime prepare fish for winter period; antibiotic treatment ineffective in vivo,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,Vibriosis,Vibrio alginolyticus,Bacteria,Haemorrhages; dark skin; skin lesions,Good hygiene; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,Vibriosis,Vibrio anguillarum,Bacteria,Lethargy; anorexia; head down position,Good hygiene and disinfection of water supply; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,Enteric redmouth disease,Yersinia ruckeri,Bacteria,NA,NA,https://en.wikipedia.org/wiki/Enteric_redmouth_disease,NA,NA,NA
Sparus aurata,Parasitic Enteritis,Enteromyxum leei ,Endoparasite,Lethargy; distended abdomen; hyperpigmentation,Avoid stressing fish; no treatment,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,NA,Ichtyophonus,Fungus,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,NA,Broklynella hostilis,Protozoa,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,NA,Ceratomyxa sparusaurati,Protozoa,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,NA,Cryptosporidium molnari,Protozoa,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,NA,Enteromyxum leei,Protozoa,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,NA,Goussia sparis,Protozoa,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,NA,Leptotheca sparidarum,Protozoa,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,NA,Polysporoplasma sparis,Protozoa,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Sparus aurata,Aquareovirus,Aquareovirus,Virus,None,Low pathogenicity - no treatment,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,Viral Encephalopathy and Retinopathy,Betanodavirus,Virus,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=345,NA,NA,NA
Sparus aurata,Infectious Haematopoietic Necrosis,IHN,Virus,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=344,NA,NA,NA
Sparus aurata,Lymphocystis,Iridovirus,Virus,Whitish pseudotumour,Reduce feeding rate; reduce biomass; avoid additional stress on diseased fish; low pathogenicity - no treatment,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA
Sparus aurata,Distended Gut Syndrome (DGS),Virus-like particle,Virus,Distended abdomen; disoriented spinning motion; immobility with the head down,Effective UV treatment of incoming water during first larval stages,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Oncorhynchus tshawytscha,NA,Aquatic birnavirus,Virus,NA,NA,NA,NA,NA,NA
Oncorhynchus tshawytscha,Amoebic gill disease,Neoparamoeba perurans,Amoeba,NA,NA,NA,NA,NA,NA
Oncorhynchus tshawytscha,Sea lice,Caligus longicaudatus,Parasite,NA,NA,NA,NA,NA,NA
Oncorhynchus tshawytscha,NA,Myxobolus cerebralis,Protozoan,NA,NA,NA,NA,NA,NA
Oncorhynchus tshawytscha,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,NA,NA,https://www.cabi.org/ISC/datasheet/68868,NA,NA,NA
Oncorhynchus tshawytscha,Infective Haematopoietic Necrosis,IHN,Virus,"Erratic swimming eventually floating upside down whilst breathing rapidly after which death occurs; eyes bulge; bleeding from base of pectoral fins, dorsal fin and vent",As above,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D15,NA,NA,NA
Oncorhynchus tshawytscha,BKD (Bacterial Kidney Disease),Renibacterium salmoninarum,Bacterium,Whitish lesions in the kidney; bleeding from kidneys and liver; some fish may lose appetite and swim close to surface; appear dark in colour,Statutory controls; biosecurity; broodstock screening,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A5,NA,NA,NA
Oncorhynchus tshawytscha,Infectious Salmon Anaemia (ISA),Orthomyxovirus,Virus,Lethargy; reduced appetite; gasping at water surface; pale gills & heart; fluid in body cavity; dark liver; haemorrhages in internal organs,No treatment; statutory controls; biosecurity; bloodwater disinfection,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,NA,NA,NA
Oncorhynchus tshawytscha,Infectious Salmon Anaemia (ISA),ISAV,Virus,Lethargy; reduced appetite; gasping at water surface; pale gills & heart; fluid in body cavity; dark liver; haemorrhages in internal organs,No treatment; statutory controls; biosecurity; bloodwater disinfection,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,NA,NA,NA
Oncorhynchus tshawytscha,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacterium,Whitish lesions in the spleen & kidney; bleeding from kidney & liver,Statutory controls; biosecurity; broodstock screening; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C5,NA,NA,NA
Oncorhynchus kisutch,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacterium,Whitish lesions in the spleen & kidney; bleeding from kidney & liver,Statutory controls; biosecurity; broodstock screening; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C5,NA,NA,NA
Oncorhynchus kisutch,Enteric redmouth Disease (ERM),Yersinia ruckeri,Bacterium,Septicemia; reddened mouth,Antibiotics; vaccination in freshwater,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C6,NA,NA,NA
Oncorhynchus kisutch,Furunculosis,Aeromonas salmonicida,Bacterium,Reduced appetite; haemorrhaging at base of fins; fluid in body cavity; enlarged spleen; intestine engorged with blood; focal lesions in muscle,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C7,NA,NA,NA
Oncorhynchus kisutch,Infectious Salmon Anaemia (ISA),Orthomyxovirus,Virus,Lethargy; reduced appetite; gasping at water surface; pale gills & heart; fluid in body cavity; dark liver; haemorrhages in internal organs,No treatment; statutory controls; biosecurity; bloodwater disinfection,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,NA,NA,NA
Oncorhynchus kisutch,Kudoa,Kudoa thyrsites,Myxosporidium,White cysts in muscle; soft flesh texture,No treatment,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C9,NA,NA,NA
Oncorhynchus kisutch,Salmon Rickettsial Disease (SRS),Piscirickettsia salmonis,Bacterium (rickettsia),Dark coloration; lethargy; anorexia; erratic swimming; pale gills; fluid in body cavity; swollen kidney & spleen,Antibiotics,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C10,NA,NA,NA
Oncorhynchus kisutch,Sea lice,Lopeoptherius salmonis; Caligus elongatus,Ectoparasites,Reduced growth; scale loss; haemorrhaging of eyes & fins,"Paraciticides: bath Azamethiphos, Cypermethrin, hydrogen peroxide; in feed Emamectin, telflubenzuron",http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C11,NA,NA,NA
Oncorhynchus kisutch,Vibriosis,Vibrio anguillarum; Vibrio ordali,Bacteria,Reduced appetite; severe anaemia; swollen spleen & soft kidney; focal muscle lesions,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C12,NA,NA,NA
Oncorhynchus kisutch,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,NA,NA,https://www.cabi.org/ISC/datasheet/68868,NA,NA,NA
Oncorhynchus kisutch,Infective Haematopoietic Necrosis,IHN,Virus,"Erratic swimming eventually floating upside down whilst breathing rapidly after which death occurs; eyes bulge; bleeding from base of pectoral fins, dorsal fin and vent",As above,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D15,NA,NA,NA
Oncorhynchus kisutch,Infectious Salmon Anaemia (ISA),ISAV,Virus,Lethargy; reduced appetite; gasping at water surface; pale gills & heart; fluid in body cavity; dark liver; haemorrhages in internal organs,No treatment; statutory controls; biosecurity; bloodwater disinfection,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,NA,NA,NA
Oncorhynchus kisutch,Pancreatic disease,Salmon Alpha Virus,Virus,NA,NA,NA,NA,NA,NA
Oncorhynchus mykiss,Furunculosis,Aeromonas salmonicida,Bacteria,Inflammation of intestine; reddening of fins; boils on body; pectoral fins infected; tissues die back,"Antibiotic mixed with food, e.g. oxytetracycline",http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D9,NA,NA,NA
Oncorhynchus mykiss,Similar to furunculosis,Aeromonas liquefaciens,Bacteria,Smaller lesions on body that become open sores; fins become reddened and tissues break down,Same treatment as furunculosis,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D10,NA,NA,NA
Oncorhynchus mykiss,Vibriosis,Vibrio anguillarum,Bacteria,Loss of appetite; fins and areas around vent and mouth become reddened; sometimes bleeding around mouth and gills; potential high mortality,"Same as furunculosis, plus vaccine for greater protection",http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D11,NA,NA,NA
Oncorhynchus mykiss,Bacterial gill disease,Myxobacterium,Bacteria,Loss of appetite; swelling and reddening of gills; eventually gill filaments mass together and become paler with a secretion blocking gill function in later stage,Bathing in bacteriocide and regular filtering of water supply to remove particles in water,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D13,NA,NA,NA
Oncorhynchus mykiss,Infective Pancreatic Necrosis,IPN,Virus,"Erratic swimming, eventually to bottom of tank where death occurs",No treatment available; eradicate disease by removal of infected stock,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D14,NA,NA,NA
Oncorhynchus mykiss,Infective Haematopoietic Necrosis,IHN,Virus,"Erratic swimming eventually floating upside down whilst breathing rapidly after which death occurs; eyes bulge; bleeding from base of pectoral fins, dorsal fin and vent",As above,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D15,NA,NA,NA
Oncorhynchus mykiss,Viral Haemorrhagic Septicaemia,VHS,Virus,"Bulging eyes and, in some cases, bleeding eyes; pale gills; swollen abdomen; lethargy",As above,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D16,NA,NA,NA
Oncorhynchus mykiss,White spot,Ichthyophthirius multifilis,Protozoan,White patches on body; becoming lethargic; attempt to remove parasites by rubbing on side of tank,Formalin bath for surface parasites; copper sulphate for parasites below surface; prevented by fast-flowing water,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D17,NA,NA,NA
Oncorhynchus mykiss,Whirling disease (Myxosomiasis),Myxobolus cerebralis,Protozoan,Darkening of skin; swimming in spinning fashion; deformities around gills and tail fin; death eventually occurs,No treatment; fish must be kept out of infected water; water treated with calcium cyanamide,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D18,NA,NA,NA
Oncorhynchus mykiss,Hexamitaisis Octomitis,Hexamita truttae,Protozoan,"Lethargic, sinking to bottom of tank where death occurs; some fish make sudden random movements",Feed calomel with food,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D19,NA,NA,NA
Oncorhynchus mykiss,Costiasis,Costia necatrix,Protozoan,Blue-grey slime on skin which contains parasite,Formalin bath,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D20,NA,NA,NA
Oncorhynchus mykiss,Fluke,Gyrodactylus sp.,Trematode,"Parasites attached to caudal and anal fins; body and fins erode, leaving lesions that are attacked by Saprolegnia",Formalin bath,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D21,NA,NA,NA
Oncorhynchus mykiss,Trematodal parasite,Diplostomum spathaceum,Trematode,Eye lens cloudy; loss of condition,No treatment available. Water supply kept clear of snail hosts,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D22,NA,NA,NA
Oncorhynchus mykiss,Edwardsiellosis,Edwardsiella,Bacterium,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=491,NA,NA,NA
Oncorhynchus mykiss,Gyrodactylosis,Gyrodactylus salaris,Monogenean ectoparasite,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=493,NA,NA,NA
Oncorhynchus mykiss,ISA (Infectious salmon anaemia),Orthomyxovirus,Virus,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=494,NA,NA,NA
Oncorhynchus mykiss,Oncorhynchus Masou Virus Disease,Oncorhynchus masou,Virus,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=495,NA,NA,NA
Oncorhynchus mykiss,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=496,NA,NA,NA
Oncorhynchus mykiss,Enteric redmouth disease,Yersinia ruckeri,Bacteria,NA,NA,https://en.wikipedia.org/wiki/Enteric_redmouth_disease,NA,NA,NA
Oncorhynchus mykiss,NA,Caligus rogercresseyi,Ectoparasite,NA,NA,NA,NA,NA,NA
Oncorhynchus mykiss,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,NA,NA,NA,NA
Oncorhynchus mykiss,Furunculosis,Aeromonas salmonicida,Bacteria,Inflammation of intestine; reddening of fins; boils on body; pectoral fins infected; tissues die back,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A4,NA,NA,NA
Oncorhynchus mykiss,Infectious Salmon Anaemia (ISA),ISAV,Virus,Lethargy; reduced appetite; gasping at water surface; pale gills & heart; fluid in body cavity; dark liver; haemorrhages in internal organs,No treatment; statutory controls; biosecurity; bloodwater disinfection,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C8,NA,NA,NA
Oncorhynchus mykiss,BKD (Bacterial Kidney Disease),Renibacterium salmoninarum,Bacterium,Whitish lesions in the kidney; bleeding from kidneys and liver; some fish may lose appetite and swim close to surface; appear dark in colour,Statutory controls; biosecurity; broodstock screening,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A5,NA,NA,NA
Oncorhynchus mykiss,Pancreatic disease,Salmon Alpha Virus,Virus,NA,NA,NA,NA,NA,NA
Salmo salar,ISA (Infectious salmon anaemia),ISAV,Virus,Lethargy; appetite loss; gasping at water surface; pale gills & heart; fluid in body cavity; dark liver; haemorrhages in internal organs,No treatment; statutory controls; biosecurity; bloodwater treatment,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A0,NA,NA,NA
Salmo salar,Viral Haemorrhagic Septicaemia,VHS,Virus,"Bulging eyes and, in some cases, bleeding eyes; pale gills; swollen abdomen; lethargy",No treatment; statutory controls; vaccines being developed,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A1,NA,NA,NA
Salmo salar,IPN (Infectious Pancreatic necrosis),IPN,Virus,"Erratic swimming, eventually to bottom of tank where death occurs",No treatment; statutory controls; biosecurity; broodstock screening; vaccines being developed,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A2,NA,NA,NA
Salmo salar,SPDV (Salmon Pancreas Disease virus),Togavirus,Virus,Weight loss; emaciation; mortalities,No treatment; withholding feed; vaccination,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A3,NA,NA,NA
Salmo salar,Furunculosis,Aeromonas salmonicida,Bacterium,Inflammation of intestine; reddening of fins; boils on body; pectoral fins infected; tissues die back,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A4,NA,NA,NA
Salmo salar,BKD (Bacterial Kidney Disease),Renibacterium salmoninarum,Bacterium,Whitish lesions in the kidney; bleeding from kidneys and liver; some fish may lose appetite and swim close to surface; appear dark in colour,Statutory controls; biosecurity; broodstock screening,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A5,NA,NA,NA
Salmo salar,Winter sores,Moritella viscose,Bacterium,Ulcers,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A6,NA,NA,NA
Salmo salar,ERM (Enteric Redmouth),Yersinia ruckeri,Bacterium,"Black, lethargic fish 'hanging' in areas of low flow; bilateral exophthalmia; abdominal distension as result of fluid accumulation; haemorrhages of mouth and gills",Antibiotics; vaccination in freshwater,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A7,NA,NA,NA
Salmo salar,SRS (Salmon Rickettsial Disease),Piscirickettsia salmonis,Bacterium (rickettsia),"Increased mortality; anorexia; pale gills and lowered haematocrits; swollen abdomens; affected fish appear dark and lethargic, swimming at the sides of enclosures",Antibiotics,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A8,NA,NA,NA
Salmo salar,Saprolegniasis,Saprolegnia,Fungus,"White or grey patches of filamentous threads on surface; cotton-like appearance radiating in circular, crescent-shaped or whorled pattern; usually begins on head or fins",Bronopol/formalin bath,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A9,NA,NA,NA
Salmo salar,Sea lice,Lepeophtheirus salmonis,Ectoparasites,Reduced growth; loss of scales; haemorrhaging of eyes and fins,"Paraciticides (bath e.g. Azamethiphos, Cypermethrin, Hydrogen peroxide); in feed (e.g. Emamectin, teflubenzuron)",http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A10,NA,NA,NA
Salmo salar,Sea lice,Caligus elongatus,Ectoparasites,Reduced growth; loss of scales; haemorrhaging of eyes and fins,"Paraciticides (bath e.g. Azamethiphos, Cypermethrin, Hydrogen peroxide); in feed (e.g. Emamectin, teflubenzuron)",http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A11,NA,NA,NA
Salmo salar,Sea lice,Caligus clemensis,Ectoparasites,Reduced growth; loss of scales; haemorrhaging of eyes and fins,"Paraciticides (bath e.g. Azamethiphos, Cypermethrin, Hydrogen peroxide); in feed (e.g. Emamectin, teflubenzuron)",http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,NA,NA,NA
Salmo salar,Gill amoeba,Paramoeba pemaquidensis,Ectoparasite,Gill infestation,Freshwater baths,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A11,NA,NA,NA
Salmo salar,Tapeworms,Eubothrium spp.,Endoparasites,Reduced growth; reduced condition factor; aesthetically unacceptable to consumers,Fenbendazole/praziquantel in feed for Eubothrium; avoidance of early hosts,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,NA,NA,NA
Salmo salar,Tapeworms,Diphillobothrium spp.,Endoparasites,Reduced growth; reduced condition factor; aesthetically unacceptable to consumers,Fenbendazole/praziquantel in feed for Eubothrium; avoidance of early hosts,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,NA,NA,NA
Salmo salar,Freshwater protozoa,Ichthyobodo,Ectoparasites,Irritation response; heavy and laboured operculum movements; flashing and rubbing; skin cloudiness caused by excess mucus; focal redness; lethargy,Formalin baths,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A13,NA,NA,NA
