Species,DISEASE,AGENT,TYPE,SYNDROME,MEASURES,Source,Source_1,souce,Soure
Sparus aurata,Enteric redmouth disease,Yersinia ruckeri,Bacteria,NA,NA,https://en.wikipedia.org/wiki/Enteric_redmouth_disease,NA,NA,NA
Oncorhynchus mykiss,Enteric redmouth disease,Yersinia ruckeri,Bacteria,NA,NA,https://en.wikipedia.org/wiki/Enteric_redmouth_disease,NA,NA,NA
Oncorhynchus kisutch,Enteric redmouth disease,Yersinia ruckeri,Bacteria,Septicemia; reddened mouth,Antibiotics; vaccination in freshwater,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C6,NA,NA,NA
Salmo salar,Enteric redmouth disease,Yersinia ruckeri,Bacteria,"Black, lethargic fish 'hanging' in areas of low flow; bilateral exophthalmia; abdominal distension as result of fluid accumulation; haemorrhages of mouth and gills",Antibiotics; vaccination in freshwater,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A7,NA,NA,NA
Dicentrarchus labrax,Epitheliocystis,Chlamydia,Bacteria,Miliary nodules on skin or gills,Good prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,https://www.fishbase.de/Diseases/DiseasesList.php?ID=63&StockCode=73,NA,NA
Pagrus auratus,Epitheliocystis,Chlamydia,Bacteria,NA,NA,https://www.fishbase.de/summary/Pagrus-major.html,NA,NA,NA
Lates calcarifer,Epitheliocystis,Chlamydia,Bacteria,Swimming at water surface; rapid opercular movements; disease rare but seen in marine fish & in recirculation systems,None known,NA,NA,NA,NA
Gadus morhua,Francisellosis,Francisella noatunensis,Bacteria,Moderate to extensive granuloma formation in internal organs,None documented. Broodstock screening (kidney biopsies); avoidance of high water temperature,NA,NA,http://www.fao.org/fishery/culturedspecies/Gadus_morhua/en,NA
Oncorhynchus mykiss,Furunculosis,Aeromonas salmonicida,Bacteria,Inflammation of intestine; reddening of fins; boils on body; pectoral fins infected; tissues die back,"Antibiotic mixed with food, e.g. oxytetracycline",http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D9,NA,NA,NA
Scophthalmus maximus,Furunculosis,Aeromonas salmonicida,Bacteria,Boil-like skin lesions,Antibiotics; farm-made vaccines,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Gadus morhua,Furunculosis,Aeromonas salmonicida,Bacteria,Moderate to extensive granuloma formation in internal organs,Vaccination; oral antibiotic treatment,NA,NA,http://www.fao.org/fishery/culturedspecies/Gadus_morhua/en,NA
Oncorhynchus kisutch,Furunculosis,Aeromonas salmonicida,Bacteria,Reduced appetite; haemorrhaging at base of fins; fluid in body cavity; enlarged spleen; intestine engorged with blood; focal lesions in muscle,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C7,NA,NA,NA
Salmo salar,Furunculosis,Aeromonas salmonicida,Bacteria,Inflammation of intestine; reddening of fins; boils on body; pectoral fins infected; tissues die back,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A4,NA,NA,NA
Salmo salar,Gliding bacterial disease,Tenacibaculum finnmarkense,Bacteria,NA,NA,Hjeltnes et al. 2016,Seawatch,NA,NA
Lates calcarifer,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,"Pale skin patches on dorsal surface behind dorsal fin & on caudal peduncle; lethargy; most commonly occurs in nursery phase; in older juveniles a mouth form with erosion of skin around upper & lower jaws has been seen; associated with overstocking, tank rearing, poor hygiene & skin trauma",Treatment in potassium permanganate or copper baths may help in early disease; antibiotic treatment,NA,NA,NA,NA
Lateolabrax japonicus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,NA,NA,NA,NA,NA,NA
Scophthalmus maximus,Gliding bacterial disease,Tenacibaculum maritimum,Bacteria,Grey patches in dorsal fin area at first; lesions in head and mouth; sometimes gill rot,Vaccine; antibiotics,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Gadus morhua,Listonellosis,Vibrio anguillarum,Bacteria,"Fin erosions; haemorrhages, particularly in the head region",Juvenile vaccination; oral antibiotic treatment,NA,NA,http://www.fao.org/fishery/culturedspecies/Gadus_morhua/en,NA
Dicentrarchus labrax,Mycobacteriosis,Mycobacterium marinum,Bacteria,Emaciation; poor growth; hypertrophic kidney and spleen with granulomas,Good prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Myxobacteriosis,Flexibacter maritimus,Bacteria,Skin ulcers; necrosis; fin erosion,Antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Pagrus auratus,Myxobacteriosis,Flexibacter maritimus,Bacteria,NA,NA,https://www.fishbase.de/summary/Pagrus-major.html,NA,NA,NA
Thunnus thynnus,NA,Photobacterium damsela subsp. piscicida,Bacteria,NA,NA,"Peric Z. Morphological and histological changes of the parenchymatous organs of bluefin tuna, Thunnus thynnus. Abstrack. InFirst International Conference on The Domestication of Tuna, Thunnus thynnus 2002 (pp. 3-5).","Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA
Seriola quinqueradiata,Nocardia,Nocardia kampachi,Bacteria,Swollen lesions and ulcers on body surface; nodules sometimes present on gills,Control restricted to avoiding introduction of infected fish or fish products,http://www.fao.org/fishery/culturedspecies/Seriola_quinqueradiata/en#tcNA00D14,NA,NA,NA
Lateolabrax japonicus,Nocardiosis,Nocardia seriolae,Bacteria,"a lethal granulomatous disease of the skin, muscle, and various inner tissues affecting various teleost and shellfish. ",NA,https://www.fishbase.se/summary/4589,NA,NA,NA
Rachycentron canadum,Pasteurellosis,Photobacterium damselae subsp. piscicida,Bacteria,"Whitish, granulomatous deposits on kidney, liver & spleen",None known but vaccine being developed,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D17,NA,NA,NA
Sparus aurata,Pasteurellosis (Pseudotuberculosis),Photobacterium damselae subsp. piscicida,Bacteria,Anorexia; focal necrosis of the gills,Vaccination of broodstock and juveniles; use of immunostimulant and vitamin treatments; good hygiene and disinfection of water supply; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Dicentrarchus labrax,Photobacteriosis or Pseudotuberculosis,Photobacterium damselae subsp. pasteurella,Bacteria,Anorexia; darkening; splenomegaly; miliary lesions of spleen or spleen granulomatosis (chronic form),Antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Lateolabrax japonicus,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Photobacterium infection,Photobacterium damselae subsp. damselae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Oncorhynchus tshawytscha,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,NA,NA,https://www.cabi.org/ISC/datasheet/68868,NA,NA,NA
Oncorhynchus kisutch,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,NA,NA,https://www.cabi.org/ISC/datasheet/68868,NA,NA,NA
Oncorhynchus mykiss,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=496,NA,NA,NA
Salmo salar,Piscirickettsiosis,Piscirickettsia salmonis,Bacteria,"Increased mortality; anorexia; pale gills and lowered haematocrits; swollen abdomens; affected fish appear dark and lethargic, swimming at the sides of enclosures",Antibiotics,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A8,NA,NA,NA
Sparus aurata,Pseudomonas infection,Pseudomonas anguilliseptica,Bacteria,"'Belly up' syndrome, with or without the presence of haemorrhaging",Effective disinfection and dry-out period for land-based fattened units; adapt feeding regime prepare fish for winter period; antibiotic treatment ineffective in vivo,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Lates calcarifer,Pseudomonas infection,Pseudomonas sp.,Bacteria,Irregular reddened skin ulcerations; loss of scales; associated with poor environment & skin trauma,Improved environment; increased water exchange,NA,NA,NA,NA
Larimichthys crocea,Pseudomonas infection,Pseudomonas sp.,Bacteria,NA,NA,NA,NA,NA,NA
Lateolabrax japonicus,Pseudomonas infection,Pseudomonas sp.,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Pseudomonas infection,Pseudomonas sp.,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Pseudomonas infection,Pseudomonas sp.,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Pseudomonas infection,Pseudomonas sp.,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Pseudomonas infection,Pseudomonas sp.,Bacteria,NA,NA,NA,NA,NA,NA
Seriola quinqueradiata,Pseudotuberculosis,Pasteurella piscicida,Bacteria,"Formation of white nodes on the internal organs (spleen, kidney); during mild outbreaks, these symptoms may not appear; can be diagnosed using commercially available diagnostic kits when suspected",Oral administration of antibiotics; due to high risk involved with outbreak of this disease growers used to administer prophylactic doses of medication,http://www.fao.org/fishery/culturedspecies/Seriola_quinqueradiata/en#tcNA00D12,NA,NA,NA
Lateolabrax japonicus,Streptococcicosis,Lactococcus garvieae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Streptococcicosis,Lactococcus garvieae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Streptococcicosis,Lactococcus garvieae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Streptococcicosis,Lactococcus garvieae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Streptococcicosis,Lactococcus garvieae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Mugil cephalus,Streptococcosis,Streptococcus faecalis,Bacteria,Haemorrhagic areas on body surface,Antibacterial drugs in feed; environmental improvement,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C7
Lateolabrax japonicus,Streptococcosis,Streptococcus iniae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Streptococcosis,Streptococcus iniae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Streptococcosis,Streptococcus iniae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Streptococcosis,Streptococcus iniae,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Streptococcosis,Streptococcus iniae,Bacteria,NA,NA,NA,NA,NA,NA
Lates calcarifer,Streptococcosis,Streptococcus iniae,Bacteria,Darkened fish; anorexia; pale gills; reddened abdominal fluid; reddened abdominal organs & inner wall,Antibiotic treatment; vaccination,NA,NA,NA,NA
Sciaenops ocellatus,Streptococcosis,Streptococcus iniae,Bacteria,Skin ulcers; septicaemia; protruded eyeball; haemorrhages on body; darkened coloration,Antibacterials administered via water or food; removal & treatment of diseased fish; disinfection of culture system; reduce stress,http://www.fao.org/fishery/culturedspecies/Sciaenops_ocellatus/en#tcNA00D14,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA
Scophthalmus maximus,Streptococcosis,Streptococcus parauberis,Bacteria,"Haemorrhaging of fins, skin, and serosal surfaces; ulcers",Vaccine,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Lateolabrax japonicus,Streptococcosis,Streptococcus parauberis,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Streptococcosis,Streptococcus parauberis,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Streptococcosis,Streptococcus parauberis,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Streptococcosis,Streptococcus parauberis,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Streptococcosis,Streptococcus parauberis,Bacteria,NA,NA,NA,NA,NA,NA
Rachycentron canadum,Streptococcosis,Streptococcus sp.,Bacteria,Can cause blindness in cobia; protruded eyes; skin ulcers; skin darkening,Administer antibiotics; remove diseased fish; disinfect system; reduce stress,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D19,NA,NA,NA
Seriola quinqueradiata,Streptococcus infection,Streptococcus sp.,Bacteria,Bleeding inside the gills; sores on the fins; ulcers on the base of the tail,Oral administration of antibiotics; limiting densities in cages; supplying good quality feed; avoiding over-feeding; prompt removal of infected fish,http://www.fao.org/fishery/culturedspecies/Seriola_quinqueradiata/en#tcNA00D13,NA,NA,NA
Sparus aurata,Vibriosis,Photobacterium damselae subsp. damselae,Bacteria,Dark skin; lethargy; distended abdomen; haemorrhages,Avoid use of feed with very high lipid levels; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Sparus aurata,Vibriosis,Vibrio alginolyticus,Bacteria,Haemorrhages; dark skin; skin lesions,Good hygiene; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Rachycentron canadum,Vibriosis,Vibrio alginolyticus,Bacteria,Swollen abdomen; skin ulcers; protruded eyes; lethargy; darkening of skin; ascites in peritoneal cavity,Administer antibiotics; remove diseased fish; disinfect system; reduce stress,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D18,NA,NA,NA
Larimichthys crocea,Vibriosis,Vibrio alginolyticus,Bacteria,"Jian, J., Wu, Z., 2003. Effects of traditional Chinese medicine on nonspecific immunity and disease resistance of large yellow croaker, Pseudosciaena crocea (Richardson). Aquaculture. 218, 1-9.",NA,NA,NA,NA,NA
Dicentrarchus labrax,Vibriosis,Vibrio anguillarum,Bacteria,Anorexia; darkening; skin ulcers; abdominal distension; splenomegaly; visceral petechiation; necrotic enteritis,Fry vaccination; antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Sparus aurata,Vibriosis,Vibrio anguillarum,Bacteria,Lethargy; anorexia; head down position,Good hygiene and disinfection of water supply; antibiotics,http://www.fao.org/fishery/culturedspecies/Sparus_aurata/en,NA,NA,NA
Oncorhynchus kisutch,Vibriosis,Vibrio anguillarum,Bacteria,Reduced appetite; severe anaemia; swollen spleen & soft kidney; focal muscle lesions,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C12,NA,NA,NA
Oncorhynchus mykiss,Vibriosis,Vibrio anguillarum,Bacteria,Loss of appetite; fins and areas around vent and mouth become reddened; sometimes bleeding around mouth and gills; potential high mortality,"Same as furunculosis, plus vaccine for greater protection",http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D11,NA,NA,NA
Oncorhynchus mykiss,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,NA,NA,NA,NA
Scophthalmus maximus,Vibriosis,Vibrio anguillarum,Bacteria,Darkened skin; lethargy; frayed fins; skin ulcers; exophthalmia,Vaccine; antibiotics,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Mugil cephalus,Vibriosis,Vibrio anguillarum,Bacteria,"Systemic infection; acute haemorrhagic and septicaemic disease with mass mortality; anorexia; darkening; abdominal distension, dermal haemorrhages; skin ulcers; occurrence of exophthalmos",Vaccination; environmental improvement,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C6
Argyrosomus regius,Vibriosis,Vibrio anguillarum,Bacteria,Fins and areas around vent and mouth become reddened; loss of appetite,Antibiotic in feed,http://www.fao.org/fishery/culturedspecies/Argyrosomus_regius/en#tcNA00C5,NA,NA,NA
Lateolabrax japonicus,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Larimichthys crocea,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,NA,NA,NA,NA
Salmo salar,Vibriosis,Vibrio anguillarum,Bacteria,NA,NA,NA,NA,NA,NA
Seriola quinqueradiata,Vibriosis,Vibrio anguillarum,Bacteria,Progressive reddening of fins and skin; skin ulceration; extensive muscular necrosis; internal haemorrhaging; reduced activity,Oral administration of sulfa drugs or antibiotics; limiting densities in cages; daily surveillance during feeding; keeping the fish well fed and in good condition,http://www.fao.org/fishery/culturedspecies/Seriola_quinqueradiata/en#tcNA00D11,NA,NA,NA
Lates calcarifer,Vibriosis,Vibrio harveyi,Bacteria,"Marine fish with darkening; lethargy; anorexia; reddened ulcerations on body; reddened abdominal fluid; associated with nursery systems, poor environment & skin trauma",Improved environment; antibiotic treatment,NA,NA,NA,NA
Lateolabrax japonicus,Vibriosis,Vibrio harveyi,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Vibriosis,Vibrio harveyi,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
